"date","year","month","day","5410002"
1979-01-01,"1979","01","01",3.259
1979-01-02,"1979","01","02",3.738
1979-01-03,"1979","01","03",3.911
1979-01-04,"1979","01","04",3.976
1979-01-05,"1979","01","05",3.785
1979-01-06,"1979","01","06",3.528
1979-01-07,"1979","01","07",3.548
1979-01-08,"1979","01","08",3.612
1979-01-09,"1979","01","09",3.825
1979-01-10,"1979","01","10",3.68
1979-01-11,"1979","01","11",3.407
1979-01-12,"1979","01","12",2.782
1979-01-13,"1979","01","13",3.54
1979-01-14,"1979","01","14",3.776
1979-01-15,"1979","01","15",3.626
1979-01-16,"1979","01","16",3.713
1979-01-17,"1979","01","17",3.928
1979-01-18,"1979","01","18",3.587
1979-01-19,"1979","01","19",3.327
1979-01-20,"1979","01","20",3.738
1979-01-21,"1979","01","21",3.601
1979-01-22,"1979","01","22",3.434
1979-01-23,"1979","01","23",3.241
1979-01-24,"1979","01","24",3.547
1979-01-25,"1979","01","25",3.571
1979-01-26,"1979","01","26",3.393
1979-01-27,"1979","01","27",3.592
1979-01-28,"1979","01","28",3.597
1979-01-29,"1979","01","29",3.366
1979-01-30,"1979","01","30",2.712
1979-01-31,"1979","01","31",3.002
1979-02-01,"1979","02","01",3.268
1979-02-02,"1979","02","02",2.962
1979-02-03,"1979","02","03",2.974
1979-02-04,"1979","02","04",2.954
1979-02-05,"1979","02","05",3.049
1979-02-06,"1979","02","06",2.924
1979-02-07,"1979","02","07",2.656
1979-02-08,"1979","02","08",2.159
1979-02-09,"1979","02","09",2.725
1979-02-10,"1979","02","10",3.228
1979-02-11,"1979","02","11",2.974
1979-02-12,"1979","02","12",3.097
1979-02-13,"1979","02","13",2.837
1979-02-14,"1979","02","14",2.23
1979-02-15,"1979","02","15",2.776
1979-02-16,"1979","02","16",2.951
1979-02-17,"1979","02","17",2.853
1979-02-18,"1979","02","18",3.004
1979-02-19,"1979","02","19",2.603
1979-02-20,"1979","02","20",3.423
1979-02-21,"1979","02","21",3.829
1979-02-22,"1979","02","22",3.262
1979-02-23,"1979","02","23",2.501
1979-02-24,"1979","02","24",2.473
1979-02-25,"1979","02","25",3.071
1979-02-26,"1979","02","26",2.891
1979-02-27,"1979","02","27",2.866
1979-02-28,"1979","02","28",2.99
1979-03-01,"1979","03","01",2.741
1979-03-02,"1979","03","02",2.325
1979-03-03,"1979","03","03",2.729
1979-03-04,"1979","03","04",2.354
1979-03-05,"1979","03","05",2.821
1979-03-06,"1979","03","06",2.462
1979-03-07,"1979","03","07",2.828
1979-03-08,"1979","03","08",2.267
1979-03-09,"1979","03","09",2.643
1979-03-10,"1979","03","10",2.487
1979-03-11,"1979","03","11",2.155
1979-03-12,"1979","03","12",1.885
1979-03-13,"1979","03","13",2.735
1979-03-14,"1979","03","14",2.739
1979-03-15,"1979","03","15",2.63
1979-03-16,"1979","03","16",2.655
1979-03-17,"1979","03","17",2.637
1979-03-18,"1979","03","18",2.532
1979-03-19,"1979","03","19",2.615
1979-03-20,"1979","03","20",2.798
1979-03-21,"1979","03","21",2.28
1979-03-22,"1979","03","22",2.098
1979-03-23,"1979","03","23",2.411
1979-03-24,"1979","03","24",2.472
1979-03-25,"1979","03","25",2.03
1979-03-26,"1979","03","26",1.909
1979-03-27,"1979","03","27",1.981
1979-03-28,"1979","03","28",2.26
1979-03-29,"1979","03","29",2.263
1979-03-30,"1979","03","30",2.058
1979-03-31,"1979","03","31",2.577
1979-04-01,"1979","04","01",2.131
1979-04-02,"1979","04","02",1.592
1979-04-03,"1979","04","03",0.997
1979-04-04,"1979","04","04",0.899
1979-04-05,"1979","04","05",1.852
1979-04-06,"1979","04","06",2.206
1979-04-07,"1979","04","07",2.059
1979-04-08,"1979","04","08",1.644
1979-04-09,"1979","04","09",1.954
1979-04-10,"1979","04","10",2.107
1979-04-11,"1979","04","11",1.908
1979-04-12,"1979","04","12",1.581
1979-04-13,"1979","04","13",1.633
1979-04-14,"1979","04","14",1.847
1979-04-15,"1979","04","15",2.176
1979-04-16,"1979","04","16",1.916
1979-04-17,"1979","04","17",1.87
1979-04-18,"1979","04","18",1.656
1979-04-19,"1979","04","19",1.815
1979-04-20,"1979","04","20",1.833
1979-04-21,"1979","04","21",1.674
1979-04-22,"1979","04","22",1.748
1979-04-23,"1979","04","23",1.77
1979-04-24,"1979","04","24",1.498
1979-04-25,"1979","04","25",1.473
1979-04-26,"1979","04","26",1.684
1979-04-27,"1979","04","27",1.23
1979-04-28,"1979","04","28",0.899
1979-04-29,"1979","04","29",1.255
1979-04-30,"1979","04","30",1.336
1979-05-01,"1979","05","01",1.205
1979-05-02,"1979","05","02",0.845
1979-05-03,"1979","05","03",0.996
1979-05-04,"1979","05","04",1.342
1979-05-05,"1979","05","05",1.03
1979-05-06,"1979","05","06",1.088
1979-05-07,"1979","05","07",1.187
1979-05-08,"1979","05","08",1.022
1979-05-09,"1979","05","09",1.186
1979-05-10,"1979","05","10",0.919
1979-05-11,"1979","05","11",1.135
1979-05-12,"1979","05","12",1.22
1979-05-13,"1979","05","13",1.03
1979-05-14,"1979","05","14",1.3
1979-05-15,"1979","05","15",0.994
1979-05-16,"1979","05","16",0.906
1979-05-17,"1979","05","17",0.759
1979-05-18,"1979","05","18",0.921
1979-05-19,"1979","05","19",1.193
1979-05-20,"1979","05","20",1.204
1979-05-21,"1979","05","21",0.947
1979-05-22,"1979","05","22",1.111
1979-05-23,"1979","05","23",1.128
1979-05-24,"1979","05","24",1.166
1979-05-25,"1979","05","25",0.916
1979-05-26,"1979","05","26",1.18
1979-05-27,"1979","05","27",1.016
1979-05-28,"1979","05","28",0.765
1979-05-29,"1979","05","29",0.854
1979-05-30,"1979","05","30",1.126
1979-05-31,"1979","05","31",1.222
1979-06-01,"1979","06","01",1.109
1979-06-02,"1979","06","02",0.897
1979-06-03,"1979","06","03",0.685
1979-06-04,"1979","06","04",0.779
1979-06-05,"1979","06","05",0.77
1979-06-06,"1979","06","06",0.73
1979-06-07,"1979","06","07",0.807
1979-06-08,"1979","06","08",0.997
1979-06-09,"1979","06","09",0.874
1979-06-10,"1979","06","10",0.739
1979-06-11,"1979","06","11",0.78
1979-06-12,"1979","06","12",0.841
1979-06-13,"1979","06","13",0.963
1979-06-14,"1979","06","14",0.919
1979-06-15,"1979","06","15",0.852
1979-06-16,"1979","06","16",1.022
1979-06-17,"1979","06","17",1
1979-06-18,"1979","06","18",0.933
1979-06-19,"1979","06","19",0.938
1979-06-20,"1979","06","20",0.955
1979-06-21,"1979","06","21",1.019
1979-06-22,"1979","06","22",0.769
1979-06-23,"1979","06","23",0.613
1979-06-24,"1979","06","24",0.878
1979-06-25,"1979","06","25",1.066
1979-06-26,"1979","06","26",1.09
1979-06-27,"1979","06","27",1.092
1979-06-28,"1979","06","28",1.06
1979-06-29,"1979","06","29",0.957
1979-06-30,"1979","06","30",0.651
1979-07-01,"1979","07","01",0.881
1979-07-02,"1979","07","02",0.978
1979-07-03,"1979","07","03",0.894
1979-07-04,"1979","07","04",1.016
1979-07-05,"1979","07","05",1.032
1979-07-06,"1979","07","06",0.986
1979-07-07,"1979","07","07",1.02
1979-07-08,"1979","07","08",1.228
1979-07-09,"1979","07","09",1.237
1979-07-10,"1979","07","10",1.178
1979-07-11,"1979","07","11",1.235
1979-07-12,"1979","07","12",1.204
1979-07-13,"1979","07","13",0.952
1979-07-14,"1979","07","14",0.917
1979-07-15,"1979","07","15",1.12
1979-07-16,"1979","07","16",1.141
1979-07-17,"1979","07","17",0.909
1979-07-18,"1979","07","18",0.72
1979-07-19,"1979","07","19",1.266
1979-07-20,"1979","07","20",1.285
1979-07-21,"1979","07","21",1.131
1979-07-22,"1979","07","22",1.063
1979-07-23,"1979","07","23",0.848
1979-07-24,"1979","07","24",0.808
1979-07-25,"1979","07","25",0.963
1979-07-26,"1979","07","26",0.769
1979-07-27,"1979","07","27",0.904
1979-07-28,"1979","07","28",0.975
1979-07-29,"1979","07","29",1.144
1979-07-30,"1979","07","30",0.952
1979-07-31,"1979","07","31",0.741
1979-08-01,"1979","08","01",0.64
1979-08-02,"1979","08","02",0.836
1979-08-03,"1979","08","03",0.737
1979-08-04,"1979","08","04",0.899
1979-08-05,"1979","08","05",1.11
1979-08-06,"1979","08","06",1.052
1979-08-07,"1979","08","07",1.185
1979-08-08,"1979","08","08",1.247
1979-08-09,"1979","08","09",1.485
1979-08-10,"1979","08","10",1.48
1979-08-11,"1979","08","11",1.496
1979-08-12,"1979","08","12",1.388
1979-08-13,"1979","08","13",1.322
1979-08-14,"1979","08","14",1.24
1979-08-15,"1979","08","15",1.095
1979-08-16,"1979","08","16",1.169
1979-08-17,"1979","08","17",1.452
1979-08-18,"1979","08","18",1.696
1979-08-19,"1979","08","19",1.708
1979-08-20,"1979","08","20",1.615
1979-08-21,"1979","08","21",1.387
1979-08-22,"1979","08","22",1.614
1979-08-23,"1979","08","23",1.563
1979-08-24,"1979","08","24",1.145
1979-08-25,"1979","08","25",1.017
1979-08-26,"1979","08","26",1.199
1979-08-27,"1979","08","27",0.943
1979-08-28,"1979","08","28",1.119
1979-08-29,"1979","08","29",1.478
1979-08-30,"1979","08","30",1.184
1979-08-31,"1979","08","31",1.022
1979-09-01,"1979","09","01",0.909
1979-09-02,"1979","09","02",1.282
1979-09-03,"1979","09","03",1.482
1979-09-04,"1979","09","04",1.585
1979-09-05,"1979","09","05",1.752
1979-09-06,"1979","09","06",1.611
1979-09-07,"1979","09","07",1.146
1979-09-08,"1979","09","08",1.314
1979-09-09,"1979","09","09",1.765
1979-09-10,"1979","09","10",1.695
1979-09-11,"1979","09","11",1.297
1979-09-12,"1979","09","12",1.104
1979-09-13,"1979","09","13",1.434
1979-09-14,"1979","09","14",0.928
1979-09-15,"1979","09","15",1.327
1979-09-16,"1979","09","16",1.447
1979-09-17,"1979","09","17",1.424
1979-09-18,"1979","09","18",1.908
1979-09-19,"1979","09","19",1.865
1979-09-20,"1979","09","20",1.703
1979-09-21,"1979","09","21",1.936
1979-09-22,"1979","09","22",1.774
1979-09-23,"1979","09","23",1.416
1979-09-24,"1979","09","24",1.583
1979-09-25,"1979","09","25",1.826
1979-09-26,"1979","09","26",1.263
1979-09-27,"1979","09","27",1.145
1979-09-28,"1979","09","28",1.181
1979-09-29,"1979","09","29",1.315
1979-09-30,"1979","09","30",1.455
1979-10-01,"1979","10","01",1.276
1979-10-02,"1979","10","02",1.68
1979-10-03,"1979","10","03",1.642
1979-10-04,"1979","10","04",1.574
1979-10-05,"1979","10","05",1.543
1979-10-06,"1979","10","06",2.071
1979-10-07,"1979","10","07",2.569
1979-10-08,"1979","10","08",2.812
1979-10-09,"1979","10","09",2.499
1979-10-10,"1979","10","10",2.353
1979-10-11,"1979","10","11",2.524
1979-10-12,"1979","10","12",2.411
1979-10-13,"1979","10","13",2.312
1979-10-14,"1979","10","14",2.645
1979-10-15,"1979","10","15",2.777
1979-10-16,"1979","10","16",2.724
1979-10-17,"1979","10","17",2.807
1979-10-18,"1979","10","18",2.594
1979-10-19,"1979","10","19",2.729
1979-10-20,"1979","10","20",1.987
1979-10-21,"1979","10","21",2.316
1979-10-22,"1979","10","22",2.308
1979-10-23,"1979","10","23",2.567
1979-10-24,"1979","10","24",2.044
1979-10-25,"1979","10","25",2.431
1979-10-26,"1979","10","26",2.903
1979-10-27,"1979","10","27",2.383
1979-10-28,"1979","10","28",1.886
1979-10-29,"1979","10","29",1.669
1979-10-30,"1979","10","30",2.38
1979-10-31,"1979","10","31",2.459
1979-11-01,"1979","11","01",2.732
1979-11-02,"1979","11","02",2.841
1979-11-03,"1979","11","03",2.75
1979-11-04,"1979","11","04",2.843
1979-11-05,"1979","11","05",2.044
1979-11-06,"1979","11","06",2.364
1979-11-07,"1979","11","07",1.159
1979-11-08,"1979","11","08",2.057
1979-11-09,"1979","11","09",3.225
1979-11-10,"1979","11","10",3.045
1979-11-11,"1979","11","11",2.644
1979-11-12,"1979","11","12",1.768
1979-11-13,"1979","11","13",2.378
1979-11-14,"1979","11","14",2.812
1979-11-15,"1979","11","15",2.739
1979-11-16,"1979","11","16",1.161
1979-11-17,"1979","11","17",1.754
1979-11-18,"1979","11","18",1.674
1979-11-19,"1979","11","19",1.947
1979-11-20,"1979","11","20",2.393
1979-11-21,"1979","11","21",2.235
1979-11-22,"1979","11","22",2.428
1979-11-23,"1979","11","23",2.798
1979-11-24,"1979","11","24",2.897
1979-11-25,"1979","11","25",3.034
1979-11-26,"1979","11","26",3.099
1979-11-27,"1979","11","27",2.181
1979-11-28,"1979","11","28",2.686
1979-11-29,"1979","11","29",1.979
1979-11-30,"1979","11","30",2.582
1979-12-01,"1979","12","01",2.836
1979-12-02,"1979","12","02",2.255
1979-12-03,"1979","12","03",2.274
1979-12-04,"1979","12","04",2.134
1979-12-05,"1979","12","05",1.888
1979-12-06,"1979","12","06",2.298
1979-12-07,"1979","12","07",3.307
1979-12-08,"1979","12","08",3.586
1979-12-09,"1979","12","09",3.754
1979-12-10,"1979","12","10",2.965
1979-12-11,"1979","12","11",2.164
1979-12-12,"1979","12","12",2.43
1979-12-13,"1979","12","13",1.621
1979-12-14,"1979","12","14",2.315
1979-12-15,"1979","12","15",2.971
1979-12-16,"1979","12","16",3.006
1979-12-17,"1979","12","17",2.834
1979-12-18,"1979","12","18",2.442
1979-12-19,"1979","12","19",2.412
1979-12-20,"1979","12","20",2.558
1979-12-21,"1979","12","21",3.037
1979-12-22,"1979","12","22",3.092
1979-12-23,"1979","12","23",2.996
1979-12-24,"1979","12","24",3.263
1979-12-25,"1979","12","25",2.829
1979-12-26,"1979","12","26",2.85
1979-12-27,"1979","12","27",3.088
1979-12-28,"1979","12","28",3.572
1979-12-29,"1979","12","29",3.141
1979-12-30,"1979","12","30",3.23
1979-12-31,"1979","12","31",3.535
1980-01-01,"1980","01","01",3.401
1980-01-02,"1980","01","02",3.271
1980-01-03,"1980","01","03",3.25
1980-01-04,"1980","01","04",2.573
1980-01-05,"1980","01","05",3.495
1980-01-06,"1980","01","06",3.424
1980-01-07,"1980","01","07",3.582
1980-01-08,"1980","01","08",3.788
1980-01-09,"1980","01","09",3.797
1980-01-10,"1980","01","10",4.018
1980-01-11,"1980","01","11",3.69
1980-01-12,"1980","01","12",3.687
1980-01-13,"1980","01","13",3.194
1980-01-14,"1980","01","14",2.761
1980-01-15,"1980","01","15",3.478
1980-01-16,"1980","01","16",3.528
1980-01-17,"1980","01","17",3.713
1980-01-18,"1980","01","18",3.423
1980-01-19,"1980","01","19",3.481
1980-01-20,"1980","01","20",3.487
1980-01-21,"1980","01","21",3.304
1980-01-22,"1980","01","22",3.287
1980-01-23,"1980","01","23",3.097
1980-01-24,"1980","01","24",3.481
1980-01-25,"1980","01","25",3.246
1980-01-26,"1980","01","26",3.287
1980-01-27,"1980","01","27",3.327
1980-01-28,"1980","01","28",3.272
1980-01-29,"1980","01","29",2.932
1980-01-30,"1980","01","30",2.765
1980-01-31,"1980","01","31",3.158
1980-02-01,"1980","02","01",2.811
1980-02-02,"1980","02","02",3.043
1980-02-03,"1980","02","03",3.076
1980-02-04,"1980","02","04",2.57
1980-02-05,"1980","02","05",3.321
1980-02-06,"1980","02","06",2.708
1980-02-07,"1980","02","07",3.507
1980-02-08,"1980","02","08",3.219
1980-02-09,"1980","02","09",2.013
1980-02-10,"1980","02","10",3.049
1980-02-11,"1980","02","11",3.035
1980-02-12,"1980","02","12",3.25
1980-02-13,"1980","02","13",3.541
1980-02-14,"1980","02","14",3.015
1980-02-15,"1980","02","15",3.423
1980-02-16,"1980","02","16",3.174
1980-02-17,"1980","02","17",3.054
1980-02-18,"1980","02","18",2.858
1980-02-19,"1980","02","19",2.559
1980-02-20,"1980","02","20",1.925
1980-02-21,"1980","02","21",2.268
1980-02-22,"1980","02","22",2.559
1980-02-23,"1980","02","23",2.034
1980-02-24,"1980","02","24",3.181
1980-02-25,"1980","02","25",2.824
1980-02-26,"1980","02","26",2.57
1980-02-27,"1980","02","27",2.831
1980-02-28,"1980","02","28",2.585
1980-02-29,"1980","02","29",2.513
1980-03-01,"1980","03","01",2.649
1980-03-02,"1980","03","02",3.068
1980-03-03,"1980","03","03",2.892
1980-03-04,"1980","03","04",2.519
1980-03-05,"1980","03","05",2.29
1980-03-06,"1980","03","06",2.798
1980-03-07,"1980","03","07",2.794
1980-03-08,"1980","03","08",2.813
1980-03-09,"1980","03","09",2.75
1980-03-10,"1980","03","10",2.33
1980-03-11,"1980","03","11",2.692
1980-03-12,"1980","03","12",2.824
1980-03-13,"1980","03","13",2.616
1980-03-14,"1980","03","14",2.841
1980-03-15,"1980","03","15",2.667
1980-03-16,"1980","03","16",2.922
1980-03-17,"1980","03","17",2.99
1980-03-18,"1980","03","18",2.814
1980-03-19,"1980","03","19",2.627
1980-03-20,"1980","03","20",2.874
1980-03-21,"1980","03","21",2.343
1980-03-22,"1980","03","22",2.025
1980-03-23,"1980","03","23",2.131
1980-03-24,"1980","03","24",2.028
1980-03-25,"1980","03","25",2.256
1980-03-26,"1980","03","26",2.793
1980-03-27,"1980","03","27",2.839
1980-03-28,"1980","03","28",2.595
1980-03-29,"1980","03","29",2.339
1980-03-30,"1980","03","30",2.305
1980-03-31,"1980","03","31",3.197
1980-04-01,"1980","04","01",2.032
1980-04-02,"1980","04","02",1.93
1980-04-03,"1980","04","03",1.561
1980-04-04,"1980","04","04",1.544
1980-04-05,"1980","04","05",1.697
1980-04-06,"1980","04","06",1.865
1980-04-07,"1980","04","07",1.473
1980-04-08,"1980","04","08",1.016
1980-04-09,"1980","04","09",0.574
1980-04-10,"1980","04","10",0.512
1980-04-11,"1980","04","11",0.625
1980-04-12,"1980","04","12",0.611
1980-04-13,"1980","04","13",0.959
1980-04-14,"1980","04","14",1.001
1980-04-15,"1980","04","15",1.235
1980-04-16,"1980","04","16",1.373
1980-04-17,"1980","04","17",1.035
1980-04-18,"1980","04","18",1.354
1980-04-19,"1980","04","19",1.499
1980-04-20,"1980","04","20",1.673
1980-04-21,"1980","04","21",1.387
1980-04-22,"1980","04","22",1.052
1980-04-23,"1980","04","23",0.886
1980-04-24,"1980","04","24",0.99
1980-04-25,"1980","04","25",1.434
1980-04-26,"1980","04","26",1.336
1980-04-27,"1980","04","27",1.304
1980-04-28,"1980","04","28",1.306
1980-04-29,"1980","04","29",0.878
1980-04-30,"1980","04","30",1.173
1980-05-01,"1980","05","01",1.083
1980-05-02,"1980","05","02",1.264
1980-05-03,"1980","05","03",1.176
1980-05-04,"1980","05","04",0.956
1980-05-05,"1980","05","05",0.932
1980-05-06,"1980","05","06",1.163
1980-05-07,"1980","05","07",0.981
1980-05-08,"1980","05","08",0.841
1980-05-09,"1980","05","09",0.729
1980-05-10,"1980","05","10",0.52
1980-05-11,"1980","05","11",0.969
1980-05-12,"1980","05","12",1.063
1980-05-13,"1980","05","13",1.041
1980-05-14,"1980","05","14",0.791
1980-05-15,"1980","05","15",0.995
1980-05-16,"1980","05","16",1.094
1980-05-17,"1980","05","17",0.945
1980-05-18,"1980","05","18",0.909
1980-05-19,"1980","05","19",0.654
1980-05-20,"1980","05","20",0.687
1980-05-21,"1980","05","21",0.699
1980-05-22,"1980","05","22",1.131
1980-05-23,"1980","05","23",1.049
1980-05-24,"1980","05","24",1.327
1980-05-25,"1980","05","25",1.206
1980-05-26,"1980","05","26",1.013
1980-05-27,"1980","05","27",0.701
1980-05-28,"1980","05","28",0.974
1980-05-29,"1980","05","29",0.673
1980-05-30,"1980","05","30",0.634
1980-05-31,"1980","05","31",0.683
1980-06-01,"1980","06","01",0.933
1980-06-02,"1980","06","02",1.05
1980-06-03,"1980","06","03",1.082
1980-06-04,"1980","06","04",0.961
1980-06-05,"1980","06","05",0.871
1980-06-06,"1980","06","06",0.836
1980-06-07,"1980","06","07",0.664
1980-06-08,"1980","06","08",0.514
1980-06-09,"1980","06","09",0.783
1980-06-10,"1980","06","10",0.855
1980-06-11,"1980","06","11",0.661
1980-06-12,"1980","06","12",0.538
1980-06-13,"1980","06","13",0.794
1980-06-14,"1980","06","14",0.974
1980-06-15,"1980","06","15",0.757
1980-06-16,"1980","06","16",0.801
1980-06-17,"1980","06","17",0.94
1980-06-18,"1980","06","18",0.915
1980-06-19,"1980","06","19",0.974
1980-06-20,"1980","06","20",1.05
1980-06-21,"1980","06","21",0.952
1980-06-22,"1980","06","22",1.006
1980-06-23,"1980","06","23",0.68
1980-06-24,"1980","06","24",0.456
1980-06-25,"1980","06","25",0.377
1980-06-26,"1980","06","26",0.711
1980-06-27,"1980","06","27",0.589
1980-06-28,"1980","06","28",0.487
1980-06-29,"1980","06","29",0.461
1980-06-30,"1980","06","30",0.518
1980-07-01,"1980","07","01",0.706
1980-07-02,"1980","07","02",0.81
1980-07-03,"1980","07","03",0.798
1980-07-04,"1980","07","04",0.796
1980-07-05,"1980","07","05",0.735
1980-07-06,"1980","07","06",0.578
1980-07-07,"1980","07","07",0.43
1980-07-08,"1980","07","08",0.614
1980-07-09,"1980","07","09",0.724
1980-07-10,"1980","07","10",0.744
1980-07-11,"1980","07","11",0.685
1980-07-12,"1980","07","12",0.761
1980-07-13,"1980","07","13",0.733
1980-07-14,"1980","07","14",0.88
1980-07-15,"1980","07","15",1.08
1980-07-16,"1980","07","16",0.909
1980-07-17,"1980","07","17",0.911
1980-07-18,"1980","07","18",0.65
1980-07-19,"1980","07","19",0.508
1980-07-20,"1980","07","20",0.791
1980-07-21,"1980","07","21",0.989
1980-07-22,"1980","07","22",1.178
1980-07-23,"1980","07","23",1.075
1980-07-24,"1980","07","24",0.857
1980-07-25,"1980","07","25",0.552
1980-07-26,"1980","07","26",0.566
1980-07-27,"1980","07","27",0.715
1980-07-28,"1980","07","28",0.541
1980-07-29,"1980","07","29",0.614
1980-07-30,"1980","07","30",0.946
1980-07-31,"1980","07","31",1.154
1980-08-01,"1980","08","01",1.266
1980-08-02,"1980","08","02",0.973
1980-08-03,"1980","08","03",0.796
1980-08-04,"1980","08","04",0.839
1980-08-05,"1980","08","05",1.109
1980-08-06,"1980","08","06",0.949
1980-08-07,"1980","08","07",0.815
1980-08-08,"1980","08","08",0.989
1980-08-09,"1980","08","09",1.149
1980-08-10,"1980","08","10",1.187
1980-08-11,"1980","08","11",1.475
1980-08-12,"1980","08","12",1.317
1980-08-13,"1980","08","13",1.504
1980-08-14,"1980","08","14",1.635
1980-08-15,"1980","08","15",1.507
1980-08-16,"1980","08","16",1.258
1980-08-17,"1980","08","17",1.124
1980-08-18,"1980","08","18",1
1980-08-19,"1980","08","19",1.124
1980-08-20,"1980","08","20",1.072
1980-08-21,"1980","08","21",1.013
1980-08-22,"1980","08","22",1.174
1980-08-23,"1980","08","23",1.145
1980-08-24,"1980","08","24",1.207
1980-08-25,"1980","08","25",1.331
1980-08-26,"1980","08","26",1.647
1980-08-27,"1980","08","27",1.77
1980-08-28,"1980","08","28",1.614
1980-08-29,"1980","08","29",1.716
1980-08-30,"1980","08","30",1.263
1980-08-31,"1980","08","31",1.418
1980-09-01,"1980","09","01",1.596
1980-09-02,"1980","09","02",1.818
1980-09-03,"1980","09","03",1.878
1980-09-04,"1980","09","04",2.001
1980-09-05,"1980","09","05",2.074
1980-09-06,"1980","09","06",2.058
1980-09-07,"1980","09","07",1.374
1980-09-08,"1980","09","08",1.604
1980-09-09,"1980","09","09",2.166
1980-09-10,"1980","09","10",2.017
1980-09-11,"1980","09","11",2.012
1980-09-12,"1980","09","12",2.186
1980-09-13,"1980","09","13",1.645
1980-09-14,"1980","09","14",1.446
1980-09-15,"1980","09","15",1.992
1980-09-16,"1980","09","16",1.975
1980-09-17,"1980","09","17",1.443
1980-09-18,"1980","09","18",1.046
1980-09-19,"1980","09","19",1.398
1980-09-20,"1980","09","20",1.506
1980-09-21,"1980","09","21",1.966
1980-09-22,"1980","09","22",2.234
1980-09-23,"1980","09","23",2.065
1980-09-24,"1980","09","24",2.044
1980-09-25,"1980","09","25",2.046
1980-09-26,"1980","09","26",1.407
1980-09-27,"1980","09","27",2.122
1980-09-28,"1980","09","28",1.505
1980-09-29,"1980","09","29",1.208
1980-09-30,"1980","09","30",1.014
1980-10-01,"1980","10","01",1.048
1980-10-02,"1980","10","02",1.178
1980-10-03,"1980","10","03",1.456
1980-10-04,"1980","10","04",1.9
1980-10-05,"1980","10","05",2.449
1980-10-06,"1980","10","06",1.792
1980-10-07,"1980","10","07",1.701
1980-10-08,"1980","10","08",2.424
1980-10-09,"1980","10","09",1.914
1980-10-10,"1980","10","10",1.845
1980-10-11,"1980","10","11",2.349
1980-10-12,"1980","10","12",2.695
1980-10-13,"1980","10","13",2.652
1980-10-14,"1980","10","14",2.552
1980-10-15,"1980","10","15",2.387
1980-10-16,"1980","10","16",2.327
1980-10-17,"1980","10","17",2.417
1980-10-18,"1980","10","18",2.52
1980-10-19,"1980","10","19",2.217
1980-10-20,"1980","10","20",1.968
1980-10-21,"1980","10","21",1.725
1980-10-22,"1980","10","22",2.439
1980-10-23,"1980","10","23",2.322
1980-10-24,"1980","10","24",2.456
1980-10-25,"1980","10","25",2.212
1980-10-26,"1980","10","26",2.584
1980-10-27,"1980","10","27",2.714
1980-10-28,"1980","10","28",2.517
1980-10-29,"1980","10","29",1.994
1980-10-30,"1980","10","30",2.677
1980-10-31,"1980","10","31",2.928
1980-11-01,"1980","11","01",2.578
1980-11-02,"1980","11","02",2.596
1980-11-03,"1980","11","03",2.596
1980-11-04,"1980","11","04",2.327
1980-11-05,"1980","11","05",2.193
1980-11-06,"1980","11","06",2.123
1980-11-07,"1980","11","07",1.413
1980-11-08,"1980","11","08",1.033
1980-11-09,"1980","11","09",1.674
1980-11-10,"1980","11","10",2.03
1980-11-11,"1980","11","11",2.732
1980-11-12,"1980","11","12",2.882
1980-11-13,"1980","11","13",2.686
1980-11-14,"1980","11","14",2.743
1980-11-15,"1980","11","15",2.63
1980-11-16,"1980","11","16",3.007
1980-11-17,"1980","11","17",2.184
1980-11-18,"1980","11","18",2.758
1980-11-19,"1980","11","19",1.68
1980-11-20,"1980","11","20",2.411
1980-11-21,"1980","11","21",2.016
1980-11-22,"1980","11","22",2.683
1980-11-23,"1980","11","23",3.038
1980-11-24,"1980","11","24",2.817
1980-11-25,"1980","11","25",2.77
1980-11-26,"1980","11","26",3.028
1980-11-27,"1980","11","27",2.559
1980-11-28,"1980","11","28",3.129
1980-11-29,"1980","11","29",3.464
1980-11-30,"1980","11","30",3.676
1980-12-01,"1980","12","01",3.209
1980-12-02,"1980","12","02",3.244
1980-12-03,"1980","12","03",3.067
1980-12-04,"1980","12","04",2.934
1980-12-05,"1980","12","05",3.139
1980-12-06,"1980","12","06",3.582
1980-12-07,"1980","12","07",3.42
1980-12-08,"1980","12","08",2.88
1980-12-09,"1980","12","09",2.995
1980-12-10,"1980","12","10",2.939
1980-12-11,"1980","12","11",2.932
1980-12-12,"1980","12","12",2.766
1980-12-13,"1980","12","13",3.382
1980-12-14,"1980","12","14",3.738
1980-12-15,"1980","12","15",3.607
1980-12-16,"1980","12","16",3.342
1980-12-17,"1980","12","17",2.341
1980-12-18,"1980","12","18",2.037
1980-12-19,"1980","12","19",1.91
1980-12-20,"1980","12","20",2.525
1980-12-21,"1980","12","21",2.979
1980-12-22,"1980","12","22",3.131
1980-12-23,"1980","12","23",2.945
1980-12-24,"1980","12","24",3.025
1980-12-25,"1980","12","25",3.063
1980-12-26,"1980","12","26",2.931
1980-12-27,"1980","12","27",2.917
1980-12-28,"1980","12","28",2.958
1980-12-29,"1980","12","29",2.953
1980-12-30,"1980","12","30",2.704
1980-12-31,"1980","12","31",2.499
1981-01-01,"1981","01","01",2.842
1981-01-02,"1981","01","02",3.147
1981-01-03,"1981","01","03",3.758
1981-01-04,"1981","01","04",3.639
1981-01-05,"1981","01","05",2.58
